epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5348,1.02804,1.67997,1.59701,0.35673,0.71101,0.53853,0.31264,1.44469,3.2752,2.76401,0.000553141,0.000553141,0.000553141
2,189.139,0.90716,1.02103,1.47916,0.71779,0.65318,0.65288,0.50473,0.78086,1.00465,1.78942,0.00105392,0.00105392,0.00105392
3,277.576,0.88758,0.87951,1.45414,0.76465,0.82774,0.8384,0.55288,1.094,0.90293,1.95634,0.00149969,0.00149969,0.00149969
4,364.346,0.86057,0.81406,1.42382,0.78908,0.80427,0.84335,0.67221,0.71621,0.62446,1.76974,0.00141945,0.00141945,0.00141945
5,453.336,0.80633,0.75399,1.38398,0.72528,0.83524,0.81858,0.63065,0.82518,0.72046,1.68798,0.00133693,0.00133693,0.00133693
6,539.813,0.77529,0.7052,1.36535,0.83938,0.89601,0.88755,0.69795,0.78826,0.54821,1.62509,0.00125442,0.00125442,0.00125442
7,627.903,0.75783,0.67274,1.35078,0.83818,0.84615,0.87378,0.69577,0.72408,0.55831,1.67931,0.0011719,0.0011719,0.0011719
8,714.615,0.75075,0.65873,1.34166,0.88,0.92074,0.93178,0.75763,0.7077,0.48427,1.6026,0.00108938,0.00108938,0.00108938
9,801.757,0.71795,0.6164,1.31782,0.90045,0.95293,0.93284,0.7672,0.666,0.38995,1.54088,0.00100687,0.00100687,0.00100687
10,888.558,0.70055,0.59861,1.30349,0.85604,0.93171,0.92472,0.76128,0.71128,0.43617,1.52273,0.000924352,0.000924352,0.000924352
11,976.107,0.45212,0.38392,1.31104,0.86947,0.9568,0.94625,0.79976,0.64929,0.42759,1.45764,0.000841835,0.000841835,0.000841835
12,1062.23,0.4315,0.33816,1.27966,0.87646,0.94858,0.95093,0.80077,0.64304,0.45231,1.45147,0.000759318,0.000759318,0.000759318
13,1147.52,0.41592,0.31529,1.28029,0.89649,0.9647,0.95011,0.82045,0.60885,0.35067,1.41794,0.000676802,0.000676802,0.000676802
14,1232.1,0.40924,0.29712,1.26404,0.91859,0.97915,0.95104,0.82296,0.62549,0.34094,1.36903,0.000594286,0.000594286,0.000594286
15,1317.45,0.40977,0.27918,1.255,0.91373,0.99024,0.95515,0.81858,0.62287,0.29371,1.39309,0.000511769,0.000511769,0.000511769
16,1410.5,0.3934,0.26837,1.24885,0.92258,0.9843,0.95194,0.82986,0.62072,0.31932,1.3543,0.000429253,0.000429253,0.000429253
17,1496.28,0.3994,0.26142,1.24588,0.91932,0.98469,0.954,0.83943,0.60555,0.31316,1.39291,0.000346736,0.000346736,0.000346736
18,1581.51,0.37294,0.24442,1.23349,0.92579,0.98395,0.96,0.84491,0.61358,0.30105,1.36827,0.00026422,0.00026422,0.00026422
19,1668.63,0.38048,0.23235,1.2317,0.92361,0.99909,0.96242,0.84307,0.60518,0.27525,1.37895,0.000181703,0.000181703,0.000181703
20,1752.61,0.3705,0.22317,1.23461,0.92207,0.9958,0.9598,0.84785,0.59149,0.30437,1.34105,9.91865e-05,9.91865e-05,9.91865e-05
